,code,lat,lon,name,city,state,country,woeid,tz,phone,type,email,url,runway_length,elev,icao,direct_flights,carriers
34,ACS,47.7006,18.0064,BLANK,Achinsk,Krasnoyarskiy Kray,Russia,1979926,Asia/Krasnoyarsk,0,Airports,BLANK,BLANK,,,BLANK,0,0
35,ACT,31.609,-97.2234,Waco Regional Airport,Waco,Texas,United States,12522299,America/Chicago,0,Airports,BLANK,BLANK,6597.0,516.0,KACT,2,2
36,ACV,40.9698,-124.108,Arcata Airport,Mckinleyville,California,United States,12518649,America/Los_Angeles,0,Airports,BLANK,BLANK,5998.0,218.0,KACV,6,7
37,ACX,25.0887,104.89,Xingyi,Xingyi,Guizhou,China,2146722,Asia/Chongqing,0,Airports,BLANK,BLANK,,,BLANK,2,2
38,ACY,39.4512,-74.5716,Atlantic City International Airport,Egg Harbor City,New Jersey,United States,12518689,America/New_York,0,Airports,BLANK,BLANK,10000.0,76.0,KACY,6,1
39,ACZ,31.0385,61.4962,Zabol A/P,Zabol,Sistan va Baluchestan,Iran,2255305,Asia/Tehran,0,Airports,BLANK,BLANK,,,KACZ,1,1
40,ADA,36.9811,35.2803,Sakirpasa Airport,Adana,Adana,Turkey,12517911,Europe/Istanbul,0,Airports,BLANK,BLANK,9022.0,64.0,LTAF,14,4
41,ADB,38.32,27.1603,Gaziemir Airport,Azmir,İzmir,Turkey,12517893,Europe/Istanbul,0,Airports,BLANK,BLANK,7700.0,412.0,LTBJ,37,10
42,ADD,8.9783,38.8011,Bole International Airport,Addis Ababa,Debub Shewa,Ethiopia,12512758,Africa/Addis_Ababa,0,Airports,BLANK,BLANK,12139.0,7625.0,HAAB,43,25
43,ADE,12.8278,45.0306,Aden International Airport,Ash Shaykh Uthman,`Adan,Yemen,12522998,Asia/Aden,0,Airports,BLANK,BLANK,10270.0,12.0,OYAA,15,8
44,ADF,37.8099,38.3357,Adiyaman Airport,Adiyaman,Adıyaman,Turkey,2347259,Europe/Istanbul,0,Airports,BLANK,BLANK,,,LTAG,2,1
